Hora;Submercado;1/8/2024;2/8/2024;3/8/2024;4/8/2024;5/8/2024;6/8/2024;7/8/2024;8/8/2024;9/8/2024;10/8/2024;11/8/2024;12/8/2024;13/8/2024;14/8/2024;15/8/2024;16/8/2024;17/8/2024;18/8/2024;19/8/2024;20/8/2024;21/8/2024;22/8/2024;23/8/2024;24/8/2024;25/8/2024;26/8/2024;27/8/2024;28/8/2024;29/8/2024;30/8/2024;31/8/2024
0;SUDESTE;72,94;73,16;101,36;101,53;103,26;103,77;105,93;104,76;106,19;122,87;120,87;117,65;120,37;118,08;118,28;119,31;108,89;109,03;109,76;109,51;109,26;109,79;110,11;105,26;103,01;100,25;100,97;101,41;101,13;103,03;293,38
0;SUL;72,9;73,12;101,32;101,49;103,22;103,73;105,89;104,72;106,15;122,83;120,83;117,65;120,33;118,09;118,28;119,29;108,85;109,01;109,72;109,47;109,22;109,75;110,07;105,22;102,97;100,25;100,97;101,41;101,13;102,99;293,38
0;NORDESTE;72,92;73,14;101,34;101,51;103,24;103,75;105,91;104,74;106,17;122,85;120,85;117,63;120,35;61,07;118,26;119,29;108,87;109,01;109,74;109,49;109,24;99,12;110,09;105,24;102,99;100,23;88,11;101,39;101,11;103,01;293,36
0;NORTE;72,97;73,19;101,38;101,55;103,28;103,79;105,95;104,78;106,21;122,89;120,89;117,67;120,39;118,1;118,3;119,33;108,91;109,05;109,78;109,53;109,28;109,81;110,13;105,28;103,03;100,27;101;101,45;101,17;103,06;293,4
1;SUDESTE;72,27;72,21;99,76;100,64;102,3;103,11;104,16;103,91;104,5;120,18;119,05;116,94;118,99;116,43;117,4;118,51;106,97;108,39;108,33;108,24;107,78;107,74;108,29;103,19;102,16;99;100,44;100,65;99,59;101,6;290,21
1;SUL;72,23;72,17;99,72;100,64;102,3;103,11;104,12;103,87;104,46;120,18;119,01;116,94;118,99;116,45;117,41;118,49;106,97;108,39;108,31;108,22;107,74;107,74;108,25;103,15;102,12;99,02;100,46;100,65;99,61;101,6;290,23
1;NORDESTE;72,25;72,19;99,74;100,62;102,28;61,07;104,14;103,89;104,48;120,16;119,03;116,92;118,97;61,07;117,38;118,49;106,95;108,37;108,31;108,22;107,76;87,94;108,27;103,17;102,14;98,98;74,33;92,54;99,57;101,58;290,19
1;NORTE;72,3;72,23;99,78;100,66;102,32;103,13;104,18;103,93;104,52;120,2;119,07;116,96;119,01;116,45;117,42;118,53;106,99;108,41;108,35;108,26;107,8;107,76;108,31;103,21;102,18;99,02;100,47;100,68;99,61;101,62;290,23
2;SUDESTE;72,03;71,97;99,46;99,78;101,63;102,16;103,85;103,57;104,16;119,74;118,53;115,63;118,78;116,32;116,72;117,99;106,79;107,67;107,83;107,88;107,34;107,61;108,12;102,47;101,86;98,55;99,91;100,51;99,47;101,36;290,6
2;SUL;71,99;71,93;99,42;99,78;101,63;102,16;103,83;103,56;104,12;119,72;118,49;115,63;118,78;116,36;116,74;117,99;106,79;107,67;107,83;107,88;107,34;107,61;108,08;102,43;101,82;98,57;99,94;100,52;99,49;101,36;290,63
2;NORDESTE;72,01;71,95;99,44;99,76;101,61;61,07;103,83;103,55;104,14;119,72;118,51;115,61;118,76;61,07;116,7;117,97;106,77;107,65;107,81;107,86;107,32;97,81;108,1;102,45;101,84;98,53;72,55;83,56;99,45;101,34;290,58
2;NORTE;72,05;71,99;99,48;99,8;101,65;102,18;103,87;103,59;104,18;119,76;118,55;115,65;118,8;116,34;116,74;118,01;106,81;107,69;107,85;107,9;107,36;107,63;108,14;102,49;101,88;98,57;99,93;100,53;99,49;101,38;290,62
3;SUDESTE;71,53;71,43;98,43;98,49;100,9;101,95;103,53;103,52;104,07;119,27;118,3;115,59;118,69;116,21;116,46;117,79;106,67;107,23;107,54;107,66;107,11;107,54;108,01;101,58;101,15;98,88;99,64;100,36;99,41;101,09;289,05
3;SUL;71,53;71,39;98,39;98,49;100,9;101,95;103,53;103,52;104,03;119,26;118,26;115,59;118,69;116,25;116,5;117,79;106,67;107,23;107,56;107,66;107,11;107,54;107,99;101,58;101,15;98,9;99,68;100,38;99,43;101,09;289,09
3;NORDESTE;71,51;71,41;98,03;68,23;85,93;61,07;103,51;103,5;104,05;119,25;118,28;115,57;118,67;61,07;116,44;117,77;105,44;107,21;107,52;107,61;107,09;105,07;107,99;101,56;101,13;98,86;93,82;95,31;89,07;99,31;289,03
3;NORTE;71,55;71,45;98,45;98,51;100,92;101,97;103,55;103,54;104,09;119,29;118,32;115,61;118,71;116,23;116,48;117,81;106,69;107,25;107,56;107,68;107,13;107,56;108,03;101,6;101,17;98,9;99,66;100,38;99,43;101,11;289,07
4;SUDESTE;71,68;71,58;98,54;98,2;100,56;102,01;103,76;103,77;104,12;119,25;118,35;116,41;118,72;116,22;116,66;117,98;106,63;106,87;107,45;107,73;107,28;107,58;107,94;101,49;100,86;99,35;99,94;100,42;99,34;101,28;288,47
4;SUL;71,68;71,54;98,5;98,2;100,56;102,01;103,76;103,73;104,08;119,25;118,31;116,41;118,72;116,26;116,68;117,98;106,63;106,87;107,47;107,73;107,28;107,58;107,92;101,49;100,86;99,36;99,97;100,44;99,36;101,28;288,49
4;NORDESTE;71,66;71,56;98,52;68,4;86,41;61,07;103,74;103,75;104,1;119,23;118,33;116,39;118,7;61,07;116,64;117,96;106,61;106,85;107,43;107,71;107,26;107,56;107,92;101,47;100,84;99,33;99,92;99,29;87,57;101,26;288,45
4;NORTE;71,7;71,6;98,56;98,22;100,58;102,03;103,78;103,79;104,14;119,27;118,37;116,43;118,74;116,24;116,68;118;106,65;106,89;107,47;107,75;107,3;107,6;107,96;101,51;100,88;99,37;99,96;100,44;99,36;101,3;288,49
5;SUDESTE;72,16;72,09;98,66;98,37;102,02;102,89;103,98;104,31;104,41;119,67;118,32;117,69;119,38;116,73;117,12;118,21;106,6;106,7;108,44;108,37;107,56;107,65;108,35;101,52;100,81;100,58;100,77;100,93;100,15;101,73;287,55
5;SUL;72,12;72,05;98,62;98,37;102,02;102,89;103,94;104,27;104,37;119,63;118,28;117,69;119,38;116,75;117,14;118,21;106,6;106,7;108,44;108,35;107,56;107,65;108,33;101,52;100,81;100,58;100,78;100,93;100,16;101,73;287,57
5;NORDESTE;72,14;72,07;98,64;68,82;86,37;61,07;103,96;104,29;104,39;119,65;118,3;117,67;119,36;61,07;117,1;118,19;106,58;106,68;108,42;108,35;107,54;102,84;108,33;101,5;100,79;100,56;100,75;100,91;87,29;101,71;287,53
5;NORTE;72,18;72,11;98,68;98,39;102,04;102,91;104;104,33;104,43;119,69;118,34;117,71;119,4;116,75;117,14;118,23;106,62;106,72;108,46;108,39;107,58;107,67;108,37;101,54;100,83;100,6;100,79;100,95;100,17;101,75;287,57
6;SUDESTE;72,42;72,49;98,59;97,5;103,19;103,69;104,44;104,88;105,13;119,72;118,09;118,74;120,4;118;117,84;118,62;106,35;106,47;108,86;108,62;108,27;108,54;108,85;101,25;99,57;101,24;101,85;102,07;101,37;102,72;285,64
6;SUL;72,38;72,45;98,55;97,5;103,19;103,68;104,4;104,84;105,09;119,7;118,07;118,75;120,38;118,02;117,86;118,62;106,36;106,47;108,86;108,62;108,25;108,54;108,85;101,25;99,57;101,24;101,85;102,07;101,37;102,72;285,67
6;NORDESTE;70,66;70,38;79,43;61,07;61,07;61,07;104,37;104,86;105,11;119,7;118,07;118,72;120,38;61,07;114,6;114,83;106,32;106,45;108,7;108,6;108,24;61,07;61,07;100,58;99,55;101,22;61,07;61,07;61,07;61,07;285,61
6;NORTE;72,44;72,51;98,6;97,51;103,2;103,71;104,45;104,9;105,15;119,74;118,11;118,76;120,42;118,01;117,86;118,63;106,36;106,49;108,87;108,64;108,28;108,56;108,86;101,26;99,59;101,26;101,86;102,09;101,39;102,74;285,65
7;SUDESTE;72,44;72,51;97,66;94,8;103,24;103,69;104,19;104,46;104,67;118,66;115,73;118,19;119,42;117,88;117,7;118,55;105,33;102,47;108,83;108,39;107,6;108;108,56;100,68;87,26;100,65;101,58;101,67;101,28;102,53;280,35
7;SUL;72,42;72,51;97,64;94,8;103,24;103,69;104,19;104,44;104,67;118,66;115,73;118,23;119,45;117,91;117,73;118,57;105,36;102,5;108,85;108,41;107,62;108,02;108,57;100,7;87,28;100,69;101,6;101,7;101,3;102,55;280,39
7;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;61,07;104,44;104,65;118,64;115,71;118,17;119,4;61,07;61,07;61,07;61,07;61,07;61,07;107,23;98,85;61,07;61,07;61,07;61,07;100,21;61,07;61,07;61,07;61,07;61,07
7;NORTE;72,45;72,52;97,67;94,81;103,25;103,71;104,2;104,48;104,69;118,68;115,75;118,21;119,44;117,89;117,72;118,56;105,34;102,48;108,84;108,4;107,61;108,01;108,57;100,69;87,27;100,66;101,59;101,68;101,29;102,54;280,35
8;SUDESTE;72,2;72,24;96,04;88,41;103,29;103,47;104,01;103,91;104,46;116,96;101,97;117,8;118,57;117,27;116,79;118,18;104,48;93,29;108,4;108,09;107,15;107,64;108,24;99,87;61,07;100,39;101,07;100,9;100,55;101,91;271,47
8;SUL;72,2;72,24;96,04;88,45;103,31;103,5;104,02;103,93;104,46;116,98;101,99;117,84;118,61;117,31;116,83;118,2;104,52;93,33;108,44;108,11;107,18;107,67;108,26;99,91;61,07;100,43;101,11;100,94;100,58;101,93;271,51
8;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;61,07;103,89;104,44;116,94;101,95;117,78;118,55;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07
8;NORTE;72,21;72,25;96,05;88,42;103,3;103,48;104,02;103,93;104,48;116,98;101,99;117,82;118,59;117,28;116,81;118,19;104,49;93,3;108,41;108,11;107,16;107,65;108,25;99,88;61,07;100,4;101,08;100,91;100,56;101,92;271,47
9;SUDESTE;71,94;71,62;94,96;76,59;103,09;103,06;103,64;103,53;104,31;115,89;61,07;117,39;117,15;116,09;115,7;117,69;103,06;61,07;107,73;108;106,66;107,51;107,82;99,2;61,07;99,49;100,54;100,48;100,03;100,95;259,75
9;SUL;71,95;71,62;94,96;76,63;103,13;103,1;103,68;103,57;104,31;115,93;61,07;117,43;117,19;116,13;115,74;117,73;103,1;61,07;107,77;108,04;106,7;107,55;107,84;99,24;61,07;99,53;100,58;100,52;100,07;100,97;259,79
9;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;61,07;103,5;104,29;115,87;61,07;117,37;117,13;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07;61,07
9;NORTE;71,95;71,63;94,97;76,6;103,1;103,07;103,65;103,54;104,33;115,91;61,07;117,41;117,17;116,1;115,71;117,7;103,07;61,07;107,74;108,01;106,67;107,52;107,83;99,21;61,07;99,5;100,55;100,49;100,04;100,96;259,75
10;SUDESTE;71,67;71,46;94,56;69,01;102,81;102,64;103,49;103,52;104,31;115,68;61,07;117,32;116,64;115,67;115,14;117,41;102,08;61,07;107,54;108,06;106,6;107,46;107,76;98,75;61,07;99,93;100,18;100,43;99,97;100,93;255,34
10;SUL;71,69;71,46;94,56;69,05;102,85;102,68;103,53;103,56;104,31;115,72;61,07;117,36;116,68;115,71;115,18;117,45;102,12;61,07;107,58;108,1;106,64;107,5;107,8;98,79;61,07;99,97;100,22;100,47;100,01;100,96;255,38
10;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;61,07;103,5;104,29;115,66;61,07;117,3;116,62;61,07;61,07;61,07;61,07;61,07;61,07;108,03;61,07;61,07;61,07;61,07;61,07;99,91;61,07;61,07;61,07;61,07;61,07
10;NORTE;71,68;71,47;94,57;69,02;102,82;102,65;103,5;103,54;104,33;115,7;61,07;117,34;116,66;115,68;115,15;117,42;102,09;61,07;107,55;108,07;106,61;107,47;107,77;98,76;61,07;99,95;100,19;100,44;99,98;100,94;255,34
11;SUDESTE;71,28;70,75;94,06;64,65;102,51;102,29;103,35;103,51;104,28;115,51;61,07;117,48;115,83;115,21;114,5;117,09;101,35;61,07;107,56;108,2;106,65;107,41;107,67;98,5;61,07;100,37;99,84;100,1;99,87;100,36;234,46
11;SUL;71,29;70,75;94,06;64,69;102,55;102,33;103,39;103,55;104,27;115,53;61,07;117,52;115,87;115,25;114,54;117,13;101,39;61,07;107,6;108,22;106,69;107,45;107,71;98,54;61,07;100,41;99,88;100,14;99,91;100,4;234,5
11;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;61,07;103,49;104,26;115,49;61,07;117,46;115,81;61,07;61,07;61,07;61,07;61,07;107,54;108,18;106,61;61,07;61,07;61,07;61,07;100,35;61,07;61,07;61,07;61,07;61,07
11;NORTE;71,29;70,76;94,07;64,66;102,52;102,3;103,36;103,53;104,3;115,53;61,07;117,5;115,85;115,22;114,51;117,1;101,36;61,07;107,58;108,22;106,66;107,42;107,68;98,51;61,07;100,39;99,85;100,11;99,88;100,37;234,46
12;SUDESTE;70,35;69,96;93,72;64,36;102,01;100,56;103,01;103,15;104,08;115,1;61,07;116,75;113,14;113,37;112,68;116,11;100,89;61,07;107,34;108,18;106,21;106,81;107,56;98;85,59;99,77;98,38;98,15;98,96;99,47;213,19
12;SUL;70,35;69,96;93,72;64,4;102,05;100,6;103,05;103,19;104,04;115,12;61,07;116,78;113,18;113,41;112,72;116,15;100,93;61,07;107,38;108,18;106,23;106,85;107,6;98,04;85,59;99,79;98,42;98,19;99;99,51;213,23
12;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;91,27;103,13;104,06;115,08;61,07;116,73;113,12;61,07;61,07;61,07;61,07;61,07;107,32;108,16;106,17;61,07;61,07;61,07;85,57;99,75;61,07;61,07;61,07;61,07;61,07
12;NORTE;70,36;69,97;93,73;64,37;102,02;100,57;103,02;103,17;104,1;115,12;61,07;116,77;113,16;113,38;112,69;116,12;100,9;61,07;107,36;108,2;106,22;106,82;107,57;98,01;85,61;99,79;98,39;98,16;98,97;99,48;213,2
13;SUDESTE;71,38;70,97;94,39;67,32;102,91;102,23;103,6;103,57;104,5;115,03;61,07;117,89;114,08;114,74;114,23;117,27;101,09;61,07;107,86;108,71;107,02;107,61;107,96;98,83;91,12;100,49;99,49;99,5;99,51;100,45;234,58
13;SUL;71,38;70,97;94,39;67,36;102,94;102,26;103,62;103,59;104,46;115,05;61,07;117,91;114,12;114,78;114,27;117,3;101,13;61,07;107,86;108,71;107,05;107,64;107,98;98,87;91,12;100,51;99,53;99,54;99,55;100,47;234,62
13;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;103,57;103,55;104,48;115,01;61,07;117,87;114,06;61,07;61,07;61,07;89,35;61,07;107,84;108,69;96,13;61,07;61,07;98,8;91,1;100,47;61,07;61,07;61,07;61,07;61,07
13;NORTE;71,4;70,98;94,4;67,33;102,92;102,24;103,61;103,59;104,52;115,05;61,07;117,91;114,1;114,75;114,24;117,28;101,1;61,07;107,88;108,73;107,03;107,62;107,97;98,84;91,14;100,51;99,51;99,52;99,52;100,47;234,59
14;SUDESTE;72,13;72,01;94,95;87,05;103,41;103,52;105,56;104,9;105,48;115,47;61,07;119,43;116,5;116,75;116,11;117,91;102,24;61,07;108,32;109,95;107,74;108,83;108,92;100,27;93,64;100,95;100,77;100,64;100,98;101,99;260,47
14;SUL;72,11;71,97;94,95;87,09;103,39;103,52;105,54;104,86;105,44;115,48;61,07;119,44;116,54;116,79;116,15;117,93;102,28;61,07;108,32;109,95;107,74;108,83;108,94;100,3;93,64;100,95;100,8;100,67;101;102,01;260,51
14;NORDESTE;61,07;61,07;61,07;61,07;61,07;61,07;105,54;104,88;105,46;115,45;61,07;119,41;116,48;61,07;61,07;61,07;72,64;61,07;108,3;109,93;80,52;61,07;61,07;100,25;93,62;100,93;61,07;61,07;61,07;61,07;61,07
14;NORTE;72,15;72,03;94,96;87,06;103,42;103,54;105,58;104,92;105,5;115,49;61,07;119,45;116,52;116,77;116,13;117,92;102,25;61,07;108,34;109,97;107,76;108,85;108,94;100,29;93,66;100,97;100,79;100,66;101;102,01;260,48
15;SUDESTE;73,01;73,3;97,16;94,16;106,38;104,46;115,08;109,25;109,07;117,89;105,05;122,64;118,53;117,79;117,43;119,18;105,01;100,34;111,36;113,18;109,8;111,09;110,82;101,76;97,43;102,98;102,41;101,99;102,11;103,58;276,43
15;SUL;72,97;73,26;97,14;94,18;106,34;104,42;115,04;109,21;109,03;117,89;105,05;122,62;118,56;117,81;117,44;119,18;105,04;100,34;111,32;113,16;109,8;111,09;110,82;101,74;97,43;102,96;102,41;101,99;102,11;103,58;276,47
15;NORDESTE;61,07;61,07;61,07;61,07;106,36;61,07;115,06;109,23;109,05;117,87;105,03;122,62;118,51;61,07;117,41;119,16;104,98;76,1;111,34;113,16;99,68;61,07;61,07;101,74;97,41;102,96;61,07;61,07;61,07;64,18;110,88
15;NORTE;73,03;73,32;97,17;94,17;106,4;104,48;115,1;109,27;109,09;117,91;105,07;122,66;118,55;117,81;117,45;119,2;105,03;100,35;111,38;113,2;109,82;111,11;110,84;101,78;97,45;103;102,43;102,01;102,13;103,6;276,44
16;SUDESTE;76,03;75,5;100,31;100,61;124,64;118,91;128,34;123,05;120,53;121,69;117,49;128,53;121,58;120,69;121,86;123,31;108,01;108,01;118,23;118,35;114,89;116,46;115,9;105;102,95;118,51;113,32;106,75;108,18;109,84;288,86
16;SUL;75,99;75,46;100,27;100,61;124,6;118,87;128,32;123,01;120,49;121,67;117,47;128,49;121,58;120,69;121,82;123,29;107,99;107,99;118,19;118,31;114,87;116,46;115,9;104,96;102,91;118,47;113,29;106,73;108,18;109,8;288,88
16;NORDESTE;76,01;75,48;61,07;61,07;124,62;118,89;128,31;123,03;120,51;121,67;117,47;128,51;121,56;61,5;121,84;123,29;107,99;107,99;118,21;118,33;111,17;61,07;115,88;104,98;102,93;118,49;113,3;61,07;61,07;109,82;288,83
16;NORTE;76,05;75,52;100,32;100,62;124,65;118,93;128,35;123,07;120,55;121,71;117,51;128,55;121,6;120,71;121,88;123,33;108,03;108,03;118,25;118,37;114,91;116,47;115,92;105,02;102,97;118,53;113,34;106,77;108,2;109,86;288,87
17;SUDESTE;81,03;79,72;107,68;104,74;131,81;128,82;140,47;131,35;128,53;131,06;124,15;293,75;126,02;127,73;128,12;129,09;117,26;114,76;207,92;124,48;118,94;129,3;135,89;121,78;111,08;129,52;130,08;122,78;128,21;130,51;302,18
17;SUL;80,99;79,68;107,64;104,7;131,77;128,8;140,45;131,31;128,49;131,06;124,11;293,75;126,02;127,73;128,1;129,09;117,22;114,72;207,92;124,48;118,94;129,3;135,89;121,74;111,04;129,52;130,08;122,78;128,21;130,49;302,16
17;NORDESTE;81,01;79,7;107,66;104,72;131,79;128,8;140,45;131,33;128,51;131,04;124,13;293,73;126;127,7;128,1;129,07;117,24;114,74;207,9;124,46;118,91;129,26;135,87;121,76;111,06;129,5;130,06;122,76;128,19;130,49;302,16
17;NORTE;81,03;79,73;107,7;104,76;131,81;128,82;140,47;131,35;128,54;131,07;124,17;293,75;126,04;127,74;128,13;129,1;117,28;114,78;207,93;124,49;118,96;129,31;135,89;121,8;111,1;129,54;130,1;122,8;128,23;130,52;302,2
18;SUDESTE;88,69;81,21;121,87;114,04;131,78;142,1;451,86;146,85;131,05;153,87;129,27;498,2;132,15;161,66;135,64;207,85;145,12;122,89;1248,26;342,4;128,56;198,02;247,6;142,57;127,09;184,14;258,37;147,3;241,84;141,09;313,83
18;SUL;88,66;81,19;121,83;114;131,78;142,1;451,86;146,85;131,05;153,87;129,23;498,2;132,16;161,66;135,65;207,86;145,08;122,85;1248,26;342,4;128,56;198,02;247,6;142,57;127,05;184,14;258,37;147,3;241,84;141,09;313,81
18;NORDESTE;88,65;81,18;121,84;114,02;131,74;142,06;451,82;146,82;131,03;153,85;129,25;498,18;132,11;161,62;135,6;207,81;145,1;122,86;1248,22;342,36;122,9;151,6;247,57;142,55;127,07;184,1;142,77;142,6;145,99;141,05;313,81
18;NORTE;88,68;81,21;121,88;114,06;131,78;142,09;451,85;146,85;131,05;153,87;129,29;498,2;132,16;161,66;135,64;207,85;145,12;122,89;1248,26;342,4;128,56;198,02;247,6;142,57;127,11;184,14;258,37;147,3;241,84;141,09;313,85
19;SUDESTE;80,42;79,62;113,99;109,55;131,27;130,93;193,31;133,12;130,57;136,23;126,44;378,72;130,41;144,41;130,61;132,92;122,93;119,33;362,22;178,95;126,09;192,34;141,56;133,58;123,59;134,49;198,34;143,69;242,25;132,55;307,31
19;SUL;80,4;79,58;113,95;109,51;131,27;130,93;193,31;133,12;130,55;136,23;126,4;378,72;130,42;144,41;130,61;132,94;122,89;119,29;362,22;178,95;126,09;192,34;141,56;133,58;123,55;134,49;198,34;143,69;242,25;132,55;307,31
19;NORDESTE;80,38;79,58;113,97;95,1;131,23;130,89;193,26;133,08;130,55;136,21;126,42;378,7;130,37;144,37;130,57;132,88;122,89;119,29;362,18;178,91;111,54;133,29;141,52;133,56;123,57;134,45;110,57;122,66;125,21;132,51;307,29
19;NORTE;80,42;79,62;114,01;109,57;131,27;130,93;193,31;133,12;130,57;136,23;126,46;378,72;130,42;144,41;130,61;132,92;122,93;119,34;362,22;178,95;126,09;192,34;141,56;133,6;123,61;134,5;198,34;143,69;242,25;132,56;307,33
20;SUDESTE;79,44;76,5;104,07;105,24;128,71;128,91;136,11;130,08;125,67;132,7;123,61;308,93;126,33;129,86;128,26;128,57;115,81;115,97;127,69;119,19;119,93;125,51;118,85;123,36;112,51;128,72;129,76;128,26;130,1;122,56;301,28
20;SUL;79,4;76,46;104,03;105,2;128,69;128,91;136,11;130,06;125,63;132,7;123,59;308,93;126,33;129,88;128,28;128,58;115,77;115,93;127,69;119,19;119,93;125,51;118,85;123,32;112,47;128,72;129,76;128,26;130,1;122,54;301,28
20;NORDESTE;79,4;76,47;69,35;74,35;128,66;128,86;131,15;130,04;125,65;132,68;123,59;308,91;126,29;128,64;128,22;128,52;115,79;115,93;127,63;119,15;100,92;95,92;118,81;123,34;112,49;128,68;83,68;91,29;90,24;119,76;301,26
20;NORTE;79,44;76,52;104,09;105,26;128,71;128,91;136,11;130,08;125,69;132,7;123,63;308,93;126,34;129,86;128,27;128,57;115,83;115,98;127,69;119,2;119,93;125,51;118,86;123,38;112,53;128,73;129,77;128,27;130,11;122,58;301,3
21;SUDESTE;77,31;76,15;102,81;104,5;125,99;126,14;128,36;126,14;121,76;129,68;121,81;188,84;123,37;127,27;125,86;126,06;113,16;114,19;120,85;118,48;119,11;120,95;118,37;114,04;107,48;126,57;125,35;121,09;123,05;113,67;296,18
21;SUL;77,27;76,11;102,77;104,46;125,95;126,1;128,32;126,1;121,72;129,64;121,81;188,84;123,37;127,27;125,86;126,06;113,12;114,15;120,85;118,46;119,11;120,95;118,37;114;107,44;126,57;125,35;121,09;123,05;113,63;296,18
21;NORDESTE;77,27;76,13;84,39;82,11;125,95;126,1;128,32;126,1;121,74;129,66;121,78;188,82;123,34;127,23;125,82;110,73;113,14;112,02;120,81;118,44;108,3;87,26;118,33;114,02;106,2;96,42;80,07;84,14;90,79;94,84;295,64
21;NORTE;77,33;76,17;102,83;104,52;126;126,15;128,37;126,15;121,78;129,7;121,83;188,84;123,39;127,28;125,87;126,07;113,18;114,21;120,86;118,49;119,11;120,95;118,38;114,06;107,5;126,59;125,36;121,12;123,06;113,69;296,19
22;SUDESTE;75,33;75,06;101,76;103,38;119,51;121,08;123,4;121,14;117,94;125,74;121,07;128,02;122,42;122,49;122,37;122,85;110,32;111,46;118,96;116,34;115,99;118,54;116,01;105,84;104,85;120,54;117,1;110,44;112,48;110,35;293,66
22;SUL;75,29;75,02;101,72;103,34;119,47;121,04;123,36;121,1;117,9;125,7;121,07;127,98;122,4;122,49;122,37;122,81;110,28;111,43;118,94;116,3;115,95;118,52;115,99;105,8;104,81;120,52;117,08;110,4;112,46;110,31;293,67
22;NORDESTE;75,31;75,04;84,49;82,3;119,48;121,05;123,37;121,12;117,92;125,72;121,05;128;122,4;122,47;122,35;112,3;110,3;109,28;118,92;116,32;108,4;94,31;115,98;105,82;104,83;96,52;91,47;90,12;94,38;95,39;293,63
22;NORTE;75,35;75,08;101,78;103,4;119,52;121,09;123,42;121,16;117,96;125,76;121,09;128,04;122,44;122,51;122,39;122,86;110,34;111,48;118,97;116,36;116;118,55;116,02;105,86;104,88;120,57;117,13;110,48;112,52;110,38;293,68
23;SUDESTE;73,65;73,72;100,33;102,21;105,09;106,15;109,25;111,44;106,64;123,18;119,48;124,14;120,53;119,33;119,69;120,21;108,88;110,55;113,03;111,75;111,41;112,59;112,08;104,32;104,28;104,84;105,47;104,46;104,68;105,11;293,16
23;SUL;73,61;73,68;100,29;102,17;105,05;106,11;109,21;111,4;106,6;123,14;119,48;124,14;120,53;119,33;119,67;120,17;108,84;110,51;112,99;111,71;111,37;112,55;112,04;104,28;104,24;104,8;105,43;104,42;104,64;105,07;293,16
23;NORDESTE;73,63;73,7;84,59;82,48;102,47;106,13;109,23;111,42;106,62;123,16;119,46;124,12;120,51;113,6;118,87;114,01;108,86;110,4;113,01;111,73;108,81;106,07;112,06;104,3;104,26;96,62;98,65;99,46;102,67;97,14;293,14
23;NORTE;73,67;73,74;100,35;102,23;105,11;106,17;109,27;111,46;106,66;123,2;119,5;124,16;120,55;119,35;119,71;120,23;108,9;110,57;113,05;111,77;111,43;112,61;112,1;104,34;104,3;104,88;105,51;104,5;104,72;105,15;293,18
